phone,Phone_Original,Number of Rows (Aggregated)
2064204939,(206) 420-4939,23
4254555670,(425) 455-5670,73
2068788709,(206) 878-8709,33
2066282111,(206) 628-2111,289
2062970442,(206) 297-0442,30
2062889747,(206) 288-9747,1
2535082778,(253) 508-2778,1
2067940235,(206) 794-0235,1
2065884760,(206) 588-4760,23
2063640750,(206) 364-0750,18
2068526102,(206) 852-6102,17
4257438868,(425) 743-8868,71
2068597321,(206) 859-7321,1
3608257334,(360) 825-7334,48
4259524200,(425) 952-4200,11
2067558695,(206) 755-8695,17
2536533923,(253) 653-3923,16
2066227833,(206) 622-7833,92
2062651798,(206) 265-1798,32
2067628606,(206) 762-8606,1
4254455141,(425) 445-5141,7
2068180496,(206) 818-0496,36
2538565019,(253) 856-5019,21
2538354141,(253) 835-4141,31
2063559537,(206) 355-9537,11
6127612838,(612) 761-2838,26
2067330461,(206) 733-0461,8
4258831200,(425) 883-1200,49
2539463375,(253) 946-3375,29
9092937588,(909) 293-7588,4
4252027663,(425) 202-7663,1
4256987171,(425) 698-7171,1
2537972598,(253) 797-2598,8
2069204196,(206) 920-4196,49
2538525092,(253) 852-5092,21
2065451790,(206) 545-1790,65
2066243888,(206) 624-3888,38
2539390341,(253) 939-0341,55
2062485622,(206) 248-5622,37
4252211064,(425) 221-1064,6
2069224467,(206) 922-4467,3
2062464432,(206) 246-4432,1
2062487221,(206) 248-7221,48
2063050646,(206) 305-0646,1
2069922339,(206) 992-2339,9
4254670867,(425) 467-0867,93
4254540070,(425) 454-0070,4
2069020736,(206) 902-0736,2
2064452987,(206) 445-2987,2
4256413335,(425) 641-3335,25
2063557625,(206) 355-7625,3
2062704444,(206) 270-4444,1
2067287000,(206) 728-7000,71
2067087417,(206) 708-7417,72
2539393030,(253) 939-3030,32
2067231033,(206) 723-1033,17
2065474649,(206) 547-4649,23
2068244068,(206) 824-4068,55
2067942260,(206) 794-2260,9
2069798800,(206) 979-8800,1
3104156775,(310) 415-6775,2
2067144881,(206) 714-4881,60
2535173873,(253) 517-3873,9
4254420818,(425) 442-0818,1
4252511600,(425) 251-1600,70
2063668888,(206) 366-8888,6
4254541585,(425) 454-1585,8
2032199762,(203) 219-9762,56
4252812648,(425) 281-2648,13
2064220736,(206) 422-0736,4
2066431299,(206) 643-1299,8
2063518622,(206) 351-8622,24
4254329321,(425) 432-9321,13
2062720831,(206) 272-0831,31
2539395950,(253) 939-5950,9
3605847236,(360) 584-7236,8
2062481748,(206) 248-1748,4
2062441720,(206) 244-1720,43
4254550870,(425) 455-0870,137
2062848687,(206) 284-8687,9
