,yelpID,Phone,alias,name,category,rating,review_count,address,city,state,zipcode
0,5skfzOnBN5ijni-ZcFpr3w,(425) 455-5670,pogacha-restaurant-bellevue-2,Pogacha Restaurant,"Italian, Modern European, Mediterranean",4.0,134,119 106th Ave NE,Bellevue,WA,98004
1,p-dCg-0X4f7iAOiXCnab6A,(206) 878-8709,st-philomena-catholic-church-des-moines-2,St Philomena Catholic Church,Churches,4.5,2,1790 S 222nd St,Des Moines,WA,98198
2,AE58buqS6MZ108uwRZ0Giw,(206) 628-2111,nordstrom-downtown-seattle-seattle-2,Nordstrom Downtown Seattle,"Department Stores, Men's Clothing, Women's Clothing",4.0,572,500 Pine St,Seattle,WA,98101
3,n48HYZDsw4hQA3MFSiPB9A,(425) 952-4200,gyro-world-redmond-3,Gyro World,"Greek, Mediterranean, Vegetarian",3.0,89,16114 NE 87th St,Redmond,WA,98052
4,oZQwAojMr5N-VBxPTaE9yQ,(206) 265-1798,i-love-my-gff-seattle-3,I Love My GFF,"Gluten-Free, Vegetarian, Food Stands",4.5,85,592 Terry Ave N,Seattle,WA,98109
5,C38KR0gCsK7hl2aX-6_qkQ,(206) 762-8606,arena-sports-seattle-3,Arena Sports,"Fitness & Instruction, Soccer",4.0,43,4636 E Marginal Way S,Seattle,WA,98134
6,2Du6vsjklGzyKqRZhC1T8A,(253) 835-4141,quality-inn-and-suites-federal-way-seattle-federal-way,Quality Inn & Suites Federal Way - Seattle,Hotels,2.5,22,1400 South 348th St,Federal Way,WA,98003
7,_XwzpKLeFob9Jg34FcIblA,(425) 883-1200,willows-run-golf-club-redmond,Willows Run Golf Club,Golf,2.5,77,10402 Willows Rd NE,Redmond,WA,98052
8,bYMBL0mMSPyvaDhsnrM8Rw,(253) 946-3375,baskin-robbins-federal-way-4,Baskin Robbins,Ice Cream & Frozen Yogurt,2.0,6,1946 S Seatac Mall,Federal Way,WA,98003
9,2i5jcul0bCWMCvVnbeqhDA,(425) 202-7663,the-lodge-sports-grille-kirkland,The Lodge Sports Grille,"American (Traditional), Sports Bars",2.5,314,107 Lake St,Kirkland,WA,98033
10,68cen3yX8KV8785KcH_Hug,(206) 545-1790,chile-pepper-restaurant-seattle,Chile Pepper Restaurant,Mexican,3.5,161,1427 N 45th St,Seattle,WA,98103
11,YK5eyqqIc9cq2N6QfPUJ6g,(206) 624-3888,fu-shen-seattle,Fu Shen,"Chinese, Seafood",4.0,183,9019 Aurora Ave N,Seattle,WA,98103
12,F7LYsR7xGKg3unOqeIngBA,(253) 939-0341,herfys-auburn,Herfy's,"Burgers, Fish & Chips",3.5,43,201 A St Se,Auburn,WA,98002
13,Ht8sIyEr21Fo_9SAlSQ9jQ,(425) 221-1064,mosaic-catering-carnation,Mosaic Catering,Caterers,5.0,9,,Carnation,WA,98014
14,YF1bRNFYAqdQKiiBcVG_Aw,(206) 246-4432,cafe-pho-tukwila-2,Cafe Pho,"Vietnamese, Sandwiches, Noodles",2.5,112,2600 Southcenter Mall,Tukwila,WA,98188
15,4N770wnEUGldMfQYyf5RKQ,(206) 248-7221,boulevard-park-chevron-seattle,Boulevard Park Chevron,Gas Stations,3.0,3,805 S 112th St,Seattle,WA,98168
16,4cHqWFjAetSyM_SBqI6iyw,(425) 467-0867,chutneys-bellevue,Chutneys,"Indian, Pakistani",3.0,288,938 110th Ave NE,Bellevue,WA,98004
17,YXEwIJqxjxnz3hDaf5n4lg,(425) 454-0070,hilton-garden-inn-seattle-bellevue-downtown-bellevue,Hilton Garden Inn Seattle Bellevue Downtown,Hotels,5.0,5,10777 NE 10th St,Bellevue,WA,98004
18,sYEkNB9SPULlc_c8490_Dg,(206) 445-2987,pasta-casalinga-seattle,Pasta Casalinga,Pasta Shops,4.5,45,93 Pike St,Seattle,WA,98101
19,UknkCRAtLhrFCth8BudREQ,(206) 270-4444,keys-on-main-seattle,Keys On Main,"Music Venues, Piano Bars",4.0,183,11 Roy St,Seattle,WA,98109
20,xaA8wsoEr1VeVKiEnNqMOA,(206) 728-7000,the-edgewater-hotel-seattle-3,The Edgewater Hotel,Hotels,3.5,568,2411 Alaskan Way,Seattle,WA,98121
21,U_UsR_5QMfM0eYCdEATOiA,(206) 708-7417,chicken-express-seattle-2,Chicken Express,"Fish & Chips, Chicken Wings",4.5,21,3621 33rd Ave S,Seattle,WA,98144
22,RGLY0uv3e_3-vghJlcSSFw,(253) 939-3030,dominos-pizza-auburn-12,Domino's Pizza,"Pizza, Chicken Wings, Sandwiches",2.5,25,620 Auburn Way S,Auburn,WA,98002
23,OYRdDA88AkyUlUmriMGWxw,(206) 547-4649,yoroshiku-seattle-4,Yoroshiku,"Ramen, Izakaya, Gastropubs",4.0,406,1913 N 45th St,Seattle,WA,98103
24,_wPEVw2gQpySK5GCA3dbsA,(206) 979-8800,tamari-bar-seattle,Tamari Bar,"Sushi Bars, Izakaya",4.5,107,500 E Pine St,Seattle,WA,98122
25,4U-Yq9GqSnD7rF6UcvD_vg,(425) 251-1600,great-wall-shopping-mall-kent-2,Great Wall Shopping Mall,Shopping Centers,3.5,59,18230 E Valley Hwy,Kent,WA,98032
26,EMzXYXkgW-4pPFQLJslANg,(206) 366-8888,n-gate-buffet-seattle,N Gate Buffet,Buffets,3.0,73,300 NE Northgate Way,Seattle,WA,98125
27,LM28Dlj_2UVnv8wTCm8H_A,(425) 454-1585,japonessa-sushi-cocina-bellevue-2,Japonessa Sushi Cocina,"Sushi Bars, Japanese",4.0,379,500 Bellevue Way NE,Bellevue,WA,98004
28,8_oxyuITZ-1T3phGrgAbMg,(206) 422-0736,monorail-espresso-seattle,Monorail Espresso,Coffee & Tea,4.5,463,520 Pike St,Seattle,WA,98101
29,0turVw4KyruWILYvhjOZWw,(425) 432-9321,hobart-food-market-maple-valley-3,Hobart Food Market,"Convenience Stores, Gas Stations",5.0,1,20250 276th Ave SE,Maple Valley,WA,98038
30,Uze9gQph9Qcu6Q_q-IutOQ,(206) 272-0831,inferno-catering-black-diamond,Inferno Catering,Caterers,5.0,4,29724 226th Ave SE,Black Diamond,WA,98010
31,yr_WJeKC8JF38HzLDrrQRw,(206) 248-1748,wendys-tukwila-2,Wendy's,"Burgers, Fast Food",2.5,20,15010 Pacific Hwy S,Tukwila,WA,98188
32,Vf9_xQwI2mcjF_2dj4W7bQ,(206) 244-1720,glen-acres-golf-and-country-club-seattle,Glen Acres Golf & Country Club,"Golf, Country Clubs",4.0,10,1000 S 112th St,Seattle,WA,98168
33,Y7i-TUfoH0KHMs4BzwYXLg,(425) 455-0870,qfc-bellevue-4,QFC,"Grocery, Meat Shops, Caterers",3.5,103,10116 NE 8th St,Bellevue,WA,98004
34,Tw7zfAzlOVUsxqeSty91iQ,(206) 284-8687,culinary-communion-seattle,Culinary Communion,Cooking Schools,5.0,8,2524 Beacon Ave S,Seattle,WA,98144
35,tU2GRPjxpcl6s6FSzwx0jg,(425) 450-0094,taco-del-mar-bellevue-2,Taco Del Mar,"Mexican, Fast Food",3.0,20,1010 Bellevue Sq,Bellevue,WA,98004
36,seXhmf0ry1gFsmLUDues5w,(206) 709-1399,honeyhole-sandwiches-seattle-2,HoneyHole Sandwiches,"Bars, Sandwiches, Gluten-Free",4.0,1194,703 E Pike St,Seattle,WA,98122
37,yOxfcvvm-IgxjQpjXN6qmg,(206) 624-7189,pho-hoa-restaurant-seattle-2,Pho Hoa Restaurant,"Vietnamese, Noodles",3.5,150,618 S Weller St,Seattle,WA,98104
38,chqGjRpwDo-BskHeidX74g,(206) 241-2000,seattle-airport-marriott-seattle,Seattle Airport Marriott,Hotels,3.0,182,3201 South 176th Street,Seattle,WA,98188
39,rhjCUI5TeQa3EB89-XY7Rw,(425) 488-9899,woodinville-bagel-bakery-woodinville-2,Woodinville Bagel Bakery,"Bagels, Coffee & Tea, Donuts",4.0,89,14126 NE Woodinville Duvall Rd,Woodinville,WA,98072
40,xwRrWQAd2bxUqX8Bk1bNtA,(206) 632-2300,silver-tray-seattle,Silver Tray,Thai,4.0,162,2101 N 45th St,Seattle,WA,98103
41,FW0tkJPbW6rIuPRbgKUdwg,(206) 937-2810,husky-deli-seattle,Husky Deli,"Ice Cream & Frozen Yogurt, Sandwiches, Delis",4.0,427,4721 California Ave SW,Seattle,WA,98116
42,4T6-ib4ku-yb7RFvVuUG_A,(206) 402-1003,becas-brew-bothell,Becas Brew,Coffee & Tea,4.5,15,19005 Bothell Way NE,Bothell,WA,98011
43,G4j9EqGHRg2TdQVD3wE8EA,(206) 285-0693,el-diablo-coffee-seattle-2,El Diablo Coffee,"Cuban, Cafes",4.0,374,1825 Queen Anne Ave N,Seattle,WA,98109
44,mOfmcAg_c4d72YEmz_rkEQ,(206) 223-0820,chew-chews-and-eatery-seattle,Chew Chews & Eatery,"American (New), Delis",3.5,14,700 5th Ave,Seattle,WA,98104
45,BwlziqAwZoQy3XiHeHgm2Q,(206) 878-6849,antojitos-teresita-kent,Antojitos Teresita,Mexican,4.0,5,23311-B Pacific Hwy S,Kent,WA,98032
46,qLcelhqQmLAksF-2Am6bbw,(206) 457-5794,north-star-diner-and-shanghai-room-seattle,North Star Diner & Shanghai Room,"Diners, Dive Bars",4.0,218,8580 Greenwood Ave N,Seattle,WA,98103
47,iP2VvhZNRC025GdM89g6pQ,(425) 376-2998,haiku-sushi-and-seafood-buffet-redmond,Haiku Sushi & Seafood Buffet,"Japanese, Buffets, Chinese",3.0,411,7548 164th Ave NE,Redmond,WA,98052
48,LsXybuVa_-wVhmx5wG_O1A,(425) 637-9499,nibbana-thai-cookery-bellevue,Nibbana Thai Cookery,Thai,3.5,296,527 108th Ave NE,Bellevue,WA,98004
49,UMC8IVZB7o7Vsv8ownttmg,(206) 957-1000,loews-hotel-1000-seattle,Loews Hotel 1000,Hotels,4.5,478,1000 1st Ave,Seattle,WA,98104
50,MVR6NwFs1sGOe2gzDxqN1g,(206) 325-6537,madison-pub-seattle,Madison Pub,"Pubs, Gay Bars",4.0,78,1315 E Madison St,Seattle,WA,98122
51,hrhcGnPPpyQVkInd-dy5ug,(206) 932-7383,chelan-cafe-seattle,Chelan Cafe,"Breakfast & Brunch, Diners",3.5,130,3527 Chelan Ave SW,Seattle,WA,98106
52,N2EzxRdyZhPe77GPiT6obQ,(206) 923-7680,casa-patrón-seattle-3,Casa Patrón,"Caribbean, Mexican",4.0,229,805 NE 65th St,Seattle,WA,98115
53,VXw6UnBqCmIMm5U-LK19Jw,(425) 391-1424,vino-bella-wine-and-espresso-bar-issaquah,Vino Bella Wine & Espresso Bar,"Wine Bars, Coffee & Tea",3.5,85,99 Front St N,Issaquah,WA,98027
54,21Yz1pN4Ooq2FeIk74AbcQ,(206) 397-4352,les-deli-and-bakery-seattle-2,Le's Deli & Bakery,"Delis, Bakeries",3.5,67,4219 S Othello St,Seattle,WA,98118
